Ticker,Flag Price,Buy Price,Flag Time,Buy Time,Time Between Flag and Buy,Lowest RSI,TTM Strength,P/L ($),P/L (%)
ALLR,0.682699978351593,0.6899999976158142,85,96,11,18.75311762910937,0.01308070891669821,21.73497927188919,0.7246369925949435
ALNY,147.8000030517578,148.0249938964844,335,335,0,25.72965263971339,0.1385768018450069,-12.5,-0.4222259927516497
ALVR,0.7601000070571899,0.7620999813079834,135,143,8,26.51802464557372,0.001333357564040577,-7.871898651123047,-0.2624293793264401
AMCX,14.55000019073486,14.57499980926514,105,105,0,18.43414820468006,0.0678951123782563,-13.32491397857666,-0.4459662520337146
AMPH,41.72999954223633,41.90499877929688,20,19,-1,24.54719358796788,0.1086738409314822,-15.61981582641602,-0.5249908421773988
AMRK,37.31000137329102,37.34999847412109,75,95,20,28.51947109143734,0.1029630606515044,21.60003662109375,0.7228928214033226
AMSWA,10.11999988555908,10.13000011444092,105,119,14,27.60522180974249,0.003729271207536827,4.440101623534702,0.1480784121746457
AMZU,34.47990036010742,34.52510070800781,70,69,-1,29.70265303449384,0.04647356033325278,11.35199737548783,0.3823304401015276
ANTX,2.339999914169312,2.359999895095825,10,10,0,27.90295698222978,0.002384569304329925,-25.41997575759888,-0.847456856590309
ANTX,2.259999990463257,2.269999980926514,70,77,7,28.47952055863989,0.009903198565755642,-23.11739921569824,-0.7709217556430107
APPN,33.22010040283203,33.33000183105469,275,275,0,27.25780113298859,0.01306443895612441,-9.900054931640625,-0.3300348164069743
APPN,33.30300140380859,33.31499862670898,370,372,2,28.84293669167383,0.0241765812465124,9.449958801269531,0.3151719842850268
AQMS,0.387800008058548,0.3880000114440918,55,56,1,24.78823929455319,0.002489465421863957,16.23502922058105,0.5412347378317428
ARCC,21.16500091552734,21.19499969482422,95,95,0,27.74462263185261,0.003748320170810115,5.640129089355469,0.1887280778641006
ARRY,12.31999969482422,12.32499980926514,350,352,2,29.235478857476,0.007152604034969035,-21.87003707885742,-0.7302243730684226
ARVN,32.77000045776367,32.81999969482422,325,324,-1,26.04419180118231,0.02189920561654168,-9.099861145019531,-0.3046876144147671
ASPI,4.010000228881836,4.039999961853027,15,30,15,29.43181672104471,0.0364790275267192,170.6600141525273,5.693069832802478
ASTS,2.309999942779541,2.335000038146973,75,74,-1,23.6775651080124,0.008899056996617971,-19.26013469696045,-0.6424027691270918
ATSG,14.55000019073486,14.57499980926514,295,303,8,27.80585777307354,0.0007236061777386171,-9.204487800598145,-0.3080613453056812
ATSG,14.47000026702881,14.53999996185303,320,321,1,25.41831051172041,0.003654577050890159,-10.30003929138184,-0.3438802673042861
ATSG,14.52000045776367,14.53999996185303,350,351,1,17.77595591488048,0.009732847894941374,12.36008644103958,0.4126576325592546
ATXS,9.470000267028809,9.5,285,284,-1,29.41207768714388,0.005376681940896008,-12.59998798370361,-0.4210522300318668
ATXS,9.460000038146973,9.470000267028809,315,323,8,28.69485813556688,0.001584301676068989,-9.480216979980469,-0.3167971045360959
AUR,2.994999885559082,3.009999990463257,75,74,-1,29.5278104845416,0.007160707882472445,-20.0194787979126,-0.6677700456757721
